varnumber,varname,codevalue,valuelabel,frequency,percent
10406,RELAFFIL,100,Original Free Will Baptist,1,0.01
10406,RELAFFIL,79,Other Protestant,27,0.39
10406,RELAFFIL,47,Pentecostal Holiness Church,3,0.04
10406,RELAFFIL,107,Plymouth Brethren,1,0.01
10406,RELAFFIL,103,Presbyterian,3,0.04
10406,RELAFFIL,66,Presbyterian Church (USA),56,0.81
10406,RELAFFIL,73,Protestant Episcopal,8,0.12
10406,RELAFFIL,77,"Protestant, not specified",1,0.01
10406,RELAFFIL,49,Reformed Church in America,5,0.07
10406,RELAFFIL,81,Reformed Presbyterian Church,3,0.04
10406,RELAFFIL,30,Roman Catholic,249,3.62
10406,RELAFFIL,92,Russian Orthodox,1,0.01
10406,RELAFFIL,95,Seventh Day Adventist,14,0.2
10406,RELAFFIL,75,Southern Baptist,24,0.35
10406,RELAFFIL,97,The Presbyterian Church in America,2,0.03
10406,RELAFFIL,88,Undenominational,22,0.32
10406,RELAFFIL,93,Unitarian Universalist,2,0.03
10406,RELAFFIL,84,United Brethren Church,1,0.01
10406,RELAFFIL,76,United Church of Christ,14,0.2
10406,RELAFFIL,71,United Methodist,95,1.38
10406,RELAFFIL,89,Wesleyan,8,0.12
10406,RELAFFIL,33,Wisconsin Evangelical Lutheran Synod,2,0.03
10406,RELAFFIL,99,Other (none of the above),12,0.17
10406,RELAFFIL,-2,Not applicable,"5,960",86.6
10411,LEVEL1,1,Yes,"3,465",50.35
10411,LEVEL1,0,Implied no,"3,417",49.65
10416,LEVEL2,1,Yes,"4,292",62.37
10416,LEVEL2,0,Implied no,"2,590",37.63
10421,LEVEL3,1,Yes,"3,081",44.77
10421,LEVEL3,0,Implied no,"3,801",55.23
10426,LEVEL4,1,Yes,874,12.7
10426,LEVEL4,0,Implied no,"6,008",87.3
10431,LEVEL5,1,Yes,"2,693",39.13
10431,LEVEL5,0,Implied no,"2,324",33.77
10431,LEVEL5,-2,Not applicable,"1,865",27.1
10436,LEVEL6,1,Yes,"1,080",15.69
10436,LEVEL6,0,Implied no,"3,937",57.21
10436,LEVEL6,-2,Not applicable,"1,865",27.1
10441,LEVEL7,1,Yes,"2,131",30.96
10441,LEVEL7,0,Implied no,"2,886",41.94
10441,LEVEL7,-2,Not applicable,"1,865",27.1
10446,LEVEL8,1,Yes,771,11.2
10446,LEVEL8,0,Implied no,"4,246",61.7
10446,LEVEL8,-2,Not applicable,"1,865",27.1
10466,LEVEL12,1,Yes,1,0.01
10466,LEVEL12,0,Implied no,"6,881",99.99
10452,LEVEL17,1,Yes,819,11.9
10452,LEVEL17,0,Implied no,"4,198",61
10452,LEVEL17,-2,Not applicable,"1,865",27.1
10453,LEVEL18,1,Yes,806,11.71
10453,LEVEL18,0,Implied no,"4,211",61.19
10453,LEVEL18,-2,Not applicable,"1,865",27.1
10454,LEVEL19,1,Yes,167,2.43
10454,LEVEL19,0,Implied no,"4,850",70.47
10454,LEVEL19,-2,Not applicable,"1,865",27.1
10901,CALSYS,1,Semester,"3,228",46.9
10901,CALSYS,2,Quarter,533,7.74
10901,CALSYS,3,Trimester,140,2.03
10901,CALSYS,4,Four-one-four plan,114,1.66
10901,CALSYS,5,Other academic year,272,3.95
10901,CALSYS,6,Differs by program,919,13.35
10901,CALSYS,7,Continuous,"1,602",23.28
10901,CALSYS,-2,Not applicable,74,1.08
10926,FT_UG,1,Yes,"6,459",93.85
10926,FT_UG,2,No,349,5.07
10926,FT_UG,-2,Not applicable,74,1.08
10931,FT_FTUG,1,Yes,"6,228",90.5
10931,FT_FTUG,2,No,580,8.43
10931,FT_FTUG,-2,Not applicable,74,1.08
15301,FTGDNIDP,1,Yes,"2,119",30.79
15301,FTGDNIDP,2,No,"1,836",26.68
15301,FTGDNIDP,-2,Not applicable,"2,927",42.53
10946,PT_UG,1,Yes,"4,696",68.24
10946,PT_UG,2,No,"2,112",30.69
10946,PT_UG,-2,Not applicable,74,1.08
10951,PT_FTUG,1,Yes,"4,137",60.11
10951,PT_FTUG,2,No,"2,671",38.81
10951,PT_FTUG,-2,Not applicable,74,1.08
15306,PTGDNIDP,1,Yes,"1,968",28.6
15306,PTGDNIDP,2,No,"1,987",28.87
15306,PTGDNIDP,-2,Not applicable,"2,927",42.53
15311,DOCPP,1,Yes,768,11.16
15311,DOCPP,-2,Not applicable,"6,114",88.84
15316,DOCPPSP,1,Yes,409,5.94
15316,DOCPPSP,2,No,359,5.22
15316,DOCPPSP,-2,Not applicable,"6,114",88.84
10516,OPENADMP,1,Yes,"4,148",60.27
10516,OPENADMP,2,No,"2,129",30.94
10516,OPENADMP,-2,Not applicable,605,8.79
16141,VET1,1,Yes,"3,145",45.7
16141,VET1,0,Implied no,"3,650",53.04
16141,VET1,-1,Not reported,13,0.19
16141,VET1,-2,Not applicable,74,1.08
16142,VET2,1,Yes,"3,203",46.54
16142,VET2,0,Implied no,"3,592",52.19
16142,VET2,-1,Not reported,13,0.19
16142,VET2,-2,Not applicable,74,1.08
16143,VET3,1,Yes,"3,554",51.64
16143,VET3,0,Implied no,"3,241",47.09
16143,VET3,-1,Not reported,13,0.19
16143,VET3,-2,Not applicable,74,1.08
16144,VET4,1,Yes,"1,702",24.73
16144,VET4,0,Implied no,"5,093",74
16144,VET4,-1,Not reported,13,0.19
16144,VET4,-2,Not applicable,74,1.08
16145,VET5,1,Yes,"2,201",31.98
16145,VET5,0,Implied no,"4,594",66.75
16145,VET5,-1,Not reported,13,0.19
16145,VET5,-2,Not applicable,74,1.08
16149,VET9,1,Yes,"1,653",24.02
16149,VET9,0,Implied no,"5,142",74.72
16149,VET9,-1,Not reported,13,0.19
16149,VET9,-2,Not applicable,74,1.08
10681,CREDITS1,1,Yes,"3,187",46.31
10681,CREDITS1,0,Implied no,"3,608",52.43
10681,CREDITS1,-1,Not reported,13,0.19
10681,CREDITS1,-2,Not applicable,74,1.08
10686,CREDITS2,1,Yes,"2,303",33.46
10686,CREDITS2,0,Implied no,"4,492",65.27
10686,CREDITS2,-1,Not reported,13,0.19
10686,CREDITS2,-2,Not applicable,74,1.08
10691,CREDITS3,1,Yes,"3,489",50.7
10691,CREDITS3,0,Implied no,"3,306",48.04
10691,CREDITS3,-1,Not reported,13,0.19
10691,CREDITS3,-2,Not applicable,74,1.08
10696,CREDITS4,1,Yes,"2,861",41.57
10696,CREDITS4,0,Implied no,"3,934",57.16
10696,CREDITS4,-1,Not reported,13,0.19
10696,CREDITS4,-2,Not applicable,74,1.08
10721,SLO5,1,Yes,"1,046",15.2
10721,SLO5,0,Implied no,"5,749",83.54
10721,SLO5,-1,Not reported,13,0.19
10721,SLO5,-2,Not applicable,74,1.08
10726,SLO51,1,Yes,962,13.98
10726,SLO51,0,Implied no,"5,833",84.76
10726,SLO51,-1,Not reported,13,0.19
10726,SLO51,-2,Not applicable,74,1.08
10731,SLO52,1,Yes,168,2.44
10731,SLO52,0,Implied no,"6,627",96.29
10731,SLO52,-1,Not reported,13,0.19
10731,SLO52,-2,Not applicable,74,1.08
10736,SLO53,1,Yes,605,8.79
10736,SLO53,0,Implied no,"6,190",89.94
10736,SLO53,-1,Not reported,13,0.19
10736,SLO53,-2,Not applicable,74,1.08
10741,SLO6,1,Yes,"1,995",28.99
10741,SLO6,0,Implied no,"4,800",69.75
10741,SLO6,-1,Not reported,13,0.19
10741,SLO6,-2,Not applicable,74,1.08
10746,SLO7,1,Yes,"3,175",46.13
10746,SLO7,0,Implied no,"3,620",52.6
10746,SLO7,-1,Not reported,13,0.19
10746,SLO7,-2,Not applicable,74,1.08
10751,SLO8,1,Yes,"1,640",23.83
10751,SLO8,0,Implied no,"2,857",41.51
10751,SLO8,-1,Not reported,4,0.06
10751,SLO8,-2,Not applicable,"2,381",34.6
10756,SLO81,1,Yes,"1,193",17.34
10756,SLO81,0,Implied no,"3,304",48.01
10756,SLO81,-1,Not reported,4,0.06
10756,SLO81,-2,Not applicable,"2,381",34.6
10761,SLO82,1,Yes,191,2.78
10761,SLO82,0,Implied no,"4,306",62.57
10761,SLO82,-1,Not reported,4,0.06
10761,SLO82,-2,Not applicable,"2,381",34.6
10766,SLO83,1,Yes,"1,390",20.2
10766,SLO83,0,Implied no,"3,107",45.15
10766,SLO83,-1,Not reported,4,0.06
10766,SLO83,-2,Not applicable,"2,381",34.6
10771,SLO9,1,Yes,"2,480",36.04
10771,SLO9,0,Implied no,"4,315",62.7
10771,SLO9,-1,Not reported,13,0.19
10771,SLO9,-2,Not applicable,74,1.08
10776,YRSCOLL,1,One,26,0.38
10776,YRSCOLL,2,Two,278,4.04
10776,YRSCOLL,3,Three,36,0.52
10776,YRSCOLL,4,Four,261,3.79
10776,YRSCOLL,5,Five,7,0.1
10776,YRSCOLL,6,Six,3,0.04
10776,YRSCOLL,8,Eight,1,0.01
10776,YRSCOLL,-2,Not applicable,"6,270",91.11
10781,STUSRV1,1,Yes,"3,655",53.11
10781,STUSRV1,0,Implied no,"3,140",45.63
10781,STUSRV1,-1,Not reported,13,0.19
10781,STUSRV1,-2,Not applicable,74,1.08
10786,STUSRV2,1,Yes,"6,193",89.99
10786,STUSRV2,0,Implied no,602,8.75
10786,STUSRV2,-1,Not reported,13,0.19
10786,STUSRV2,-2,Not applicable,74,1.08
10791,STUSRV3,1,Yes,"4,610",66.99
10791,STUSRV3,0,Implied no,"2,185",31.75
10791,STUSRV3,-1,Not reported,13,0.19
10791,STUSRV3,-2,Not applicable,74,1.08
10796,STUSRV4,1,Yes,"5,451",79.21
10796,STUSRV4,0,Implied no,"1,344",19.53
10796,STUSRV4,-1,Not reported,13,0.19
10796,STUSRV4,-2,Not applicable,74,1.08
10801,STUSRV8,1,Yes,958,13.92
10801,STUSRV8,0,Implied no,"5,837",84.82
10801,STUSRV8,-1,Not reported,13,0.19
10801,STUSRV8,-2,Not applicable,74,1.08
10806,STUSRV9,1,Yes,184,2.67
10806,STUSRV9,0,Implied no,"6,611",96.06
10806,STUSRV9,-1,Not reported,13,0.19
10806,STUSRV9,-2,Not applicable,74,1.08
16151,LIBRES1,1,Yes,"4,978",72.33
16151,LIBRES1,0,Implied no,"1,817",26.4
16151,LIBRES1,-1,Not reported,13,0.19
16151,LIBRES1,-2,Not applicable,74,1.08
16153,LIBRES2,1,Yes,"5,514",80.12
16153,LIBRES2,0,Implied no,"1,281",18.61
16153,LIBRES2,-1,Not reported,13,0.19
16153,LIBRES2,-2,Not applicable,74,1.08
16155,LIBRES3,1,Yes,"5,854",85.06
16155,LIBRES3,0,Implied no,941,13.67
16155,LIBRES3,-1,Not reported,13,0.19
16155,LIBRES3,-2,Not applicable,74,1.08
16157,LIBRES4,1,Yes,"4,657",67.67
16157,LIBRES4,0,Implied no,"2,138",31.07
16157,LIBRES4,-1,Not reported,13,0.19
16157,LIBRES4,-2,Not applicable,74,1.08
16159,LIBRES5,1,Yes,"4,509",65.52
16159,LIBRES5,0,Implied no,"2,286",33.22
16159,LIBRES5,-1,Not reported,13,0.19
16159,LIBRES5,-2,Not applicable,74,1.08
16161,LIBRES6,1,Yes,"3,802",55.25
16161,LIBRES6,0,Implied no,"2,993",43.49
16161,LIBRES6,-1,Not reported,13,0.19
16161,LIBRES6,-2,Not applicable,74,1.08
16163,LIBRES9,1,Yes,473,6.87
16163,LIBRES9,0,Implied no,"6,322",91.86
16163,LIBRES9,-1,Not reported,13,0.19
16163,LIBRES9,-2,Not applicable,74,1.08
15241,TUITPL,1,Yes,"6,099",88.62
15241,TUITPL,2,No,696,10.11
15241,TUITPL,-1,Not reported,13,0.19
15241,TUITPL,-2,Not applicable,74,1.08
15244,TUITPL1,1,Yes,554,8.05
15244,TUITPL1,0,Implied no,"6,241",90.69
15244,TUITPL1,-1,Not reported,13,0.19
15244,TUITPL1,-2,Not applicable,74,1.08
15247,TUITPL2,1,Yes,488,7.09
15247,TUITPL2,0,Implied no,"6,307",91.64
15247,TUITPL2,-1,Not reported,13,0.19
15247,TUITPL2,-2,Not applicable,74,1.08
15250,TUITPL3,1,Yes,"5,940",86.31
15250,TUITPL3,0,Implied no,855,12.42
15250,TUITPL3,-1,Not reported,13,0.19
15250,TUITPL3,-2,Not applicable,74,1.08
15253,TUITPL4,1,Yes,120,1.74
15253,TUITPL4,0,Implied no,"6,675",96.99
15253,TUITPL4,-1,Not reported,13,0.19
15253,TUITPL4,-2,Not applicable,74,1.08
15421,DSTNUGC,1,Yes,"3,315",48.17
15421,DSTNUGC,0,Implied no,"3,178",46.18
15421,DSTNUGC,-1,Not reported,13,0.19
15421,DSTNUGC,-2,Not applicable,376,5.46
15426,DSTNUGP,1,Yes,"1,943",28.23
15426,DSTNUGP,0,Implied no,"4,550",66.11
15426,DSTNUGP,-1,Not reported,13,0.19
15426,DSTNUGP,-2,Not applicable,376,5.46
15431,DSTNUGN,1,Yes,"3,178",46.18
15431,DSTNUGN,0,Implied no,"3,315",48.17
15431,DSTNUGN,-1,Not reported,13,0.19
15431,DSTNUGN,-2,Not applicable,376,5.46
15436,DSTNGC,1,Yes,"1,760",25.57
15436,DSTNGC,0,Implied no,486,7.06
15436,DSTNGC,-1,Not reported,13,0.19
15436,DSTNGC,-2,Not applicable,"4,623",67.18
15441,DSTNGP,1,Yes,"1,310",19.04
15441,DSTNGP,0,Implied no,936,13.6
15441,DSTNGP,-1,Not reported,13,0.19
15441,DSTNGP,-2,Not applicable,"4,623",67.18
15446,DSTNGN,1,Yes,486,7.06
15446,DSTNGN,0,Implied no,"1,760",25.57
15446,DSTNGN,-1,Not reported,13,0.19
15446,DSTNGN,-2,Not applicable,"4,623",67.18
15400,DISTCRS,1,Yes,"3,535",51.37
15400,DISTCRS,0,Implied no,"3,260",47.37
15400,DISTCRS,-1,Not reported,13,0.19
15400,DISTCRS,-2,Not applicable,74,1.08
15451,DISTPGS,1,Yes,"2,334",33.91
15451,DISTPGS,0,Implied no,"4,461",64.82
15451,DISTPGS,-1,Not applicable,13,0.19
15451,DISTPGS,-2,Not reported,74,1.08
15406,DSTNCED1,1,Yes,"3,315",48.17
15406,DSTNCED1,0,Implied no,"3,178",46.18
15406,DSTNCED1,-1,Not reported,13,0.19
15406,DSTNCED1,-2,Not applicable,376,5.46
15411,DSTNCED2,1,Yes,"1,760",25.57
15411,DSTNCED2,0,Implied no,489,7.11
15411,DSTNCED2,-1,Not reported,13,0.19
15411,DSTNCED2,-2,Not applicable,"4,620",67.13
15416,DSTNCED3,1,Yes,"3,260",47.37
15416,DSTNCED3,0,Implied no,"3,535",51.37
15416,DSTNCED3,-1,Not reported,13,0.19
15416,DSTNCED3,-2,Not applicable,74,1.08
15401,DISTNCED,1,Yes,57,0.83
15401,DISTNCED,2,No,"6,738",97.91
15401,DISTNCED,-1,Not reported,13,0.19
15401,DISTNCED,-2,Not applicable,74,1.08
24566,DISAB,1,3 percent or less,"5,107",74.21
24566,DISAB,2,More than 3 percent,"1,373",19.95
24566,DISAB,-1,Not reported,13,0.19
24566,DISAB,-2,Not applicable,389,5.65
15066,ALLONCAM,1,Yes,73,1.06
15066,ALLONCAM,2,No,"6,144",89.28
15066,ALLONCAM,-1,Not reported,13,0.19
15066,ALLONCAM,-2,Not applicable,652,9.47
10961,TUITVARY,1,Yes,"1,559",22.65
10961,TUITVARY,2,No,"2,724",39.58
10961,TUITVARY,-1,Not reported,13,0.19
10961,TUITVARY,-2,Not applicable,"2,586",37.58
10966,ROOM,1,Yes,"2,163",31.43
10966,ROOM,2,No,"4,632",67.31
10966,ROOM,-1,Not reported,13,0.19
10966,ROOM,-2,Not applicable,74,1.08
10976,BOARD,1,"Yes, number of meals in the maximum meal plan offered","1,102",16.01
10976,BOARD,2,"Yes, number of meals per week can vary",798,11.6
10976,BOARD,3,No,"4,895",71.13
10976,BOARD,-1,Not reported,13,0.19
10976,BOARD,-2,Not applicable,74,1.08
10816,ATHASSOC,1,Yes,"2,033",29.54
10816,ATHASSOC,2,No,"2,463",35.79
10816,ATHASSOC,-1,Not reported,6,0.09
10816,ATHASSOC,-2,Not applicable,"2,380",34.58
10821,ASSOC1,1,Yes,"1,135",16.49
10821,ASSOC1,0,Implied no,"3,361",48.84
10821,ASSOC1,-1,Not reported,6,0.09
10821,ASSOC1,-2,Not applicable,"2,380",34.58
10826,ASSOC2,1,Yes,248,3.6
10826,ASSOC2,0,Implied no,"4,248",61.73
10826,ASSOC2,-1,Not reported,6,0.09
10826,ASSOC2,-2,Not applicable,"2,380",34.58
10831,ASSOC3,1,Yes,501,7.28
10831,ASSOC3,0,Implied no,"3,995",58.05
10831,ASSOC3,-1,Not reported,6,0.09
10831,ASSOC3,-2,Not applicable,"2,380",34.58
10836,ASSOC4,1,Yes,67,0.97
10836,ASSOC4,0,Implied no,"4,429",64.36
10836,ASSOC4,-1,Not reported,6,0.09
10836,ASSOC4,-2,Not applicable,"2,380",34.58
10841,ASSOC5,1,Yes,90,1.31
10841,ASSOC5,0,Implied no,"4,406",64.02
10841,ASSOC5,-1,Not reported,6,0.09
10841,ASSOC5,-2,Not applicable,"2,380",34.58
10846,ASSOC6,1,Yes,124,1.8
10846,ASSOC6,0,Implied no,"4,372",63.53
10846,ASSOC6,-1,Not reported,6,0.09
10846,ASSOC6,-2,Not applicable,"2,380",34.58
10851,SPORT1,1,Yes,777,11.29
10851,SPORT1,2,No,"4,161",60.46
10851,SPORT1,-1,Not reported,6,0.09
10851,SPORT1,-2,Not applicable,"1,938",28.16
10856,CONFNO1,372,American Athletic Conference,11,0.16
10856,CONFNO1,204,American Southwest Conference,8,0.12
10856,CONFNO1,103,Atlantic 10 Conference,1,0.01
10856,CONFNO1,102,Atlantic Coast Conference,14,0.2
10856,CONFNO1,104,Big East Conference,1,0.01
10856,CONFNO1,105,Big Sky Conference,13,0.19
10856,CONFNO1,106,Big South Conference,6,0.09
10856,CONFNO1,107,Big Ten Conference,14,0.2
10856,CONFNO1,108,Big Twelve Conference,10,0.15
10856,CONFNO1,138,California Collegiate Athletic Association,2,0.03
10856,CONFNO1,164,Capital Athletic Conference,1,0.01
10856,CONFNO1,165,Centennial Conference,10,0.15
10856,CONFNO1,140,Central Intercollegiate Athletic Association,12,0.17
10856,CONFNO1,355,Central States Football League,7,0.1
10856,CONFNO1,167,College Conference of Illinois and Wisconsin,9,0.13
10856,CONFNO1,110,Colonial Athletic Association,11,0.16
10856,CONFNO1,168,Commonwealth Coast Conference,3,0.04
10856,CONFNO1,111,Conference USA,14,0.2
10856,CONFNO1,113,Division I-A Independents,2,0.03
10856,CONFNO1,114,Division I-AA Independents,1,0.01
10856,CONFNO1,141,Division II Independents,1,0.01
10856,CONFNO1,170,Division III Independents,3,0.04
10856,CONFNO1,366,Eastern Collegiate Football Conference,8,0.12
10856,CONFNO1,172,Empire Eight,9,0.13
10856,CONFNO1,333,Florida Sun Conference,3,0.04
10856,CONFNO1,173,Freedom Football Conference,1,0.01
10856,CONFNO1,352,Frontier Conference,8,0.12
10856,CONFNO1,116,Gateway Football Conference,1,0.01
10856,CONFNO1,367,Great American Conference,12,0.17
10856,CONFNO1,144,Great Lakes Intercollegiate Athletic Conference,11,0.16
10856,CONFNO1,371,Great Midwest Athletic Conference,7,0.1
10856,CONFNO1,145,Great Lakes Valley Conference,8,0.12
10856,CONFNO1,174,Great Northeast Athletic Conference,1,0.01
10856,CONFNO1,213,Great Northwest Athletic Conference,3,0.04
10856,CONFNO1,311,Great Plains Athletic Conference,9,0.13
10856,CONFNO1,146,Gulf South Conference,10,0.15
10856,CONFNO1,320,Heart of America Athletic Conference,12,0.17
10856,CONFNO1,175,Heartland Collegiate Athletic Conference,9,0.13
10856,CONFNO1,322,Independent Midwest Region,1,0.01
10856,CONFNO1,327,Independent Northeast Region,1,0.01
10856,CONFNO1,176,Iowa Intercollegiate Athletic Conf,9,0.13
10856,CONFNO1,117,Ivy Group,8,0.12
10856,CONFNO1,309,Kansas Collegiate Athletic Conference,10,0.15
10856,CONFNO1,147,Lone Star Conference,9,0.13
10856,CONFNO1,179,Massachusetts State College Athletic Association,3,0.04
10856,CONFNO1,180,Michigan Intercollegiate Athletic Association,7,0.1
10856,CONFNO1,148,Mid-America Intercollegiate Athletic Association,12,0.17
10856,CONFNO1,119,Mid-American Conference,12,0.17
10856,CONFNO1,121,Mid-Eastern Athletic Conference,11,0.16
10856,CONFNO1,315,Mid-South Conference,17,0.25
10856,CONFNO1,356,Mid-States Football Association,12,0.17
10856,CONFNO1,181,Middle Atlantic States Athletic Corporation,10,0.15
10856,CONFNO1,182,Midwest Conference,13,0.19
10856,CONFNO1,183,Minnesota Intercollegiate Athletic Conference,9,0.13
10856,CONFNO1,123,Missouri Valley Conference,9,0.13
10856,CONFNO1,370,Mountain East Conference,10,0.15
10856,CONFNO1,203,Mountain West Conference,12,0.17
10856,CONFNO1,184,New England Football Conference,9,0.13
10856,CONFNO1,185,New England Small College Athletic Conference,10,0.15
10856,CONFNO1,186,New England Women's & Men's Athletic Conference,8,0.12
10856,CONFNO1,187,New Jersey Athletic Conference,8,0.12
10856,CONFNO1,189,North Coast Athletic Conference,10,0.15
10856,CONFNO1,373,North Star Athletic Association,7,0.1
10856,CONFNO1,153,Northeast 10 Conference,10,0.15
10856,CONFNO1,125,Northeast Conference,7,0.1
10856,CONFNO1,359,Northern Athletics Collegiate Conference,7,0.1
10856,CONFNO1,155,Northern Sun Intercollegiate Conference,16,0.23
10856,CONFNO1,205,Northwest Conference,7,0.1
10856,CONFNO1,191,Ohio Athletic Conference,10,0.15
10856,CONFNO1,126,Ohio Valley Conference,9,0.13
10856,CONFNO1,192,Old Dominion Athletic Conference,7,0.1
10856,CONFNO1,127,Pacific-12 Conference,18,0.26
10856,CONFNO1,128,Patriot League,7,0.1
10856,CONFNO1,193,Pennsylvania Athletic Conference,1,0.01
10856,CONFNO1,158,Pennsylvania State Athletic Conference,15,0.22
10856,CONFNO1,129,Pioneer Football League,11,0.16
10856,CONFNO1,194,Presidents' Athletic Conference,10,0.15
10856,CONFNO1,159,Rocky Mountain Athletic Conference,11,0.16
10856,CONFNO1,340,Sooner Athletic Conference,2,0.03
10856,CONFNO1,160,South Atlantic Conference,9,0.13
10856,CONFNO1,130,Southeastern Conference,15,0.22
10856,CONFNO1,368,Southern Athletic Association,9,0.13
10856,CONFNO1,197,Southern California Intercollegiate Athletic Conference,10,0.15
10856,CONFNO1,198,Southern Collegiate Athletic Conference,2,0.03
10856,CONFNO1,131,Southern Conference,8,0.12
10856,CONFNO1,161,Southern Intercollegiate Athletic Conference,10,0.15
10856,CONFNO1,132,Southland Conference,11,0.16
10856,CONFNO1,133,Southwestern Athletic Conference,10,0.15
10856,CONFNO1,134,Sun Belt Conference,12,0.17
10856,CONFNO1,171,USA South Athletic Conference,9,0.13
10856,CONFNO1,200,University Athletic Association,3,0.04
10856,CONFNO1,354,Upper Midwest Athletic Conference,10,0.15
10856,CONFNO1,201,Upstate Collegiate Athletic Association,5,0.07
10856,CONFNO1,163,West Virginia Intercollegiate Athletic Conference,2,0.03
10856,CONFNO1,202,Wisconsin Intercollegiate Athletic Conference,8,0.12
10856,CONFNO1,342,Other,3,0.04
10856,CONFNO1,-1,Not reported,6,0.09
10856,CONFNO1,-2,Not applicable,"6,099",88.62
10861,SPORT2,1,Yes,"1,367",19.86
10861,SPORT2,2,No,"3,571",51.89
10861,SPORT2,-1,Not reported,6,0.09
10861,SPORT2,-2,Not applicable,"1,938",28.16
10866,CONFNO2,214,Allegheny Mountain Collegiate Conference,8,0.12
10866,CONFNO2,101,America East,9,0.13
10866,CONFNO2,372,American Athletic Conference,11,0.16
