varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
10761,SLO82,N,2,Disc,,Teacher certification: Students must complete their preparation at another institution for certain areas of specialization
10766,SLO83,N,2,Disc,,Teacher certification: Approved by the state for initial certifcation or licensure of teachers.
10771,SLO9,N,2,Disc,,None of the above special learning opportunities are offered
10776,YRSCOLL,N,2,Disc,,Years of college-level work required
10781,STUSRV1,N,2,Disc,,Remedial services
10786,STUSRV2,N,2,Disc,,Academic/career counseling service
10791,STUSRV3,N,2,Disc,,Employment services for students
10796,STUSRV4,N,2,Disc,,Placement services for completers
10801,STUSRV8,N,2,Disc,,On-campus day care for students' children
10806,STUSRV9,N,2,Disc,,None of the above selected services are offered
16151,LIBRES1,N,2,Disc,,Library resources/services: Physical facilities
16153,LIBRES2,N,2,Disc,,Library resources/services: Organized collection of printed materials
16155,LIBRES3,N,2,Disc,,Library resources/services: Access to digital/electronic resources
16157,LIBRES4,N,2,Disc,,Library resources/services: Staff trained to provide and interpret library materials
16159,LIBRES5,N,2,Disc,,Library resources/services: Established library hours
16161,LIBRES6,N,2,Disc,,Library resources/services: Access to library collections that are shared with other institutions
16163,LIBRES9,N,2,Disc,,Library resources/services not provided
15241,TUITPL,N,2,Disc,,Any alternative tuition plans offered by institution
15244,TUITPL1,N,2,Disc,,Tuition guaranteed plan
15247,TUITPL2,N,2,Disc,,Prepaid tuition plan
15250,TUITPL3,N,2,Disc,,Tuition payment plan
15253,TUITPL4,N,2,Disc,,Other alternative tuition plan
15421,DSTNUGC,N,2,Disc,,Undergraduate level distance education courses offered
15426,DSTNUGP,N,2,Disc,,Undergraduate level distance education programs offered
15431,DSTNUGN,N,2,Disc,,Undergraduate level distance education not offered
15436,DSTNGC,N,2,Disc,,Graduate level distance education courses offered
15441,DSTNGP,N,2,Disc,,Graduate level distance education programs offered
15446,DSTNGN,N,2,Disc,,Graduate level distance education not offered
15400,DISTCRS,N,2,Disc,,Distance education courses offered
15451,DISTPGS,N,2,Disc,,Distance education programs offered
15406,DSTNCED1,N,2,Disc,,Undergraduate level programs or courses are offered via distance education
15411,DSTNCED2,N,2,Disc,,Graduate level programs or courses are offered via distance education
15416,DSTNCED3,N,2,Disc,,Does not offer distance education opportunities
15401,DISTNCED,N,2,Disc,,All programs offered completely via distance education
24566,DISAB,N,2,Disc,,Percent indicator of undergraduates formally registered as students with disabilities
24571,DISABPCT,N,3,Cont,XDISABPC,"Percent of undergraduates, who are formally registered as students with disabilities, when percentage is more than 3 percent"
15066,ALLONCAM,N,2,Disc,,"Full-time, first-time degree/certificate-seeking students required to live on campus"
10961,TUITVARY,N,2,Disc,,"Tuition charge varies for in-district, in-state, out-of-state students"
10966,ROOM,N,2,Disc,,Institution provide on-campus housing
10971,ROOMCAP,N,5,Cont,XROOMCAP,Total dormitory capacity
10976,BOARD,N,2,Disc,,Institution provides board or meal plan
10981,MEALSWK,N,2,Cont,XMEALSWK,Number of meals per week in board charge
10986,ROOMAMT,N,5,Cont,XROOMAMT,Typical room charge for academic year
10991,BOARDAMT,N,5,Cont,XBORDAMT,Typical board charge for academic year
10996,RMBRDAMT,N,5,Cont,XRMBDAMT,Combined charge for room and board
10911,APPLFEEU,N,3,Cont,XAPPFEEU,Undergraduate application fee
10916,APPLFEEG,N,3,Cont,XAPPFEEG,Graduate application fee
10816,ATHASSOC,N,2,Disc,,Member of National Athletic Association
10821,ASSOC1,N,2,Disc,,Member of National Collegiate Athletic Association (NCAA)
10826,ASSOC2,N,2,Disc,,Member of National Association of Intercollegiate Athletics (NAIA)
10831,ASSOC3,N,2,Disc,,Member of National Junior College Athletic  Association (NJCAA)
10836,ASSOC4,N,2,Disc,,Member of National Small College Athletic Association (NSCAA)
10841,ASSOC5,N,2,Disc,,Member of National Christian College Athletic Association (NCCAA)
10846,ASSOC6,N,2,Disc,,Member of other national athletic association not listed above
10851,SPORT1,N,2,Disc,,NCAA/NAIA member for football
10856,CONFNO1,N,3,Disc,,NCAA/NAIA conference number football
10861,SPORT2,N,2,Disc,,NCAA/NAIA member for basketball
10866,CONFNO2,N,3,Disc,,NCAA/NAIA conference number basketball
10871,SPORT3,N,2,Disc,,NCAA/NAIA member for baseball
10876,CONFNO3,N,3,Disc,,NCAA/NAIA conference number baseball
10881,SPORT4,N,2,Disc,,NCAA/NAIA member for cross country/track
10886,CONFNO4,N,3,Disc,,NCAA/NAIA conference number cross country/track
